RESOURCE,MGR_ID,ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE
5857,17278,13777,117961,118300,118395,123067,300044,118398,123068
939,99461,8686,117961,118327,119830,118321,117906,290919,118322
13640,32270,27147,117961,118343,122299,119949,121350,290919,119951
5429,971,4175,117961,118343,118292,119433,133686,118424,119435
9814,74728,108868,119062,119091,120297,117905,117906,290919,117908
5918,20364,125466,117902,117903,120171,120990,262257,118398,120992
9526,41594,28590,117961,118327,120685,307024,256202,118331,118332
24901,36735,50396,117975,117976,117884,118568,201770,19721,118570
24339,34215,16973,117961,118300,124942,117905,117906,290919,117908
31047,29304,56623,117975,117976,117941,117885,117913,117887,117888
19092,18072,2679,122880,122974,117945,280788,280788,292795,119082
25861,80689,15982,117961,118413,123003,118777,279443,308574,118779
15225,971,4810,117961,118343,118833,118834,309123,118424,118836
7665,42929,6890,117961,118446,120317,118321,117906,290919,118322
26088,74044,4055,117961,118343,120722,118361,118362,118363,118364
3651,32634,7030,118212,118213,123201,117905,117906,290919,117908
9737,37352,16589,119920,119921,137107,117905,117906,290919,117908
9392,26419,4488,117961,118413,126229,118278,118260,290919,118279
21573,25231,21837,117961,118327,118507,118890,138290,118398,118892
24050,27124,58916,117961,118327,118391,117905,117906,290919,117908
16521,15030,16850,117961,118225,119238,122849,149223,119095,122850
8164,34432,6482,117961,118052,118992,118321,118448,290919,118322
25320,73451,3332,117961,118343,121747,118321,117906,290919,118322
21423,33142,95428,91261,118026,118202,117905,117906,290919,117908
6959,35529,3763,117961,118300,120059,120812,310589,118638,120814
29704,3853,2765,118290,118291,118301,120344,267006,118424,120346
10737,75600,57165,117975,117976,117884,117885,117913,117887,117888
4125,32306,7648,117961,118300,119181,118321,117906,290919,118322
25757,25743,46254,117961,118327,126310,124886,123881,118643,124888
255,3057,1398,117961,118300,120722,118321,117906,290919,118322
31911,20356,6021,117961,118413,122007,118784,117906,290919,118786
6207,19945,795,117961,118225,120551,118321,240983,290919,118322
29177,39262,7069,117961,118386,123844,117905,117906,290919,117908
30437,77996,28805,117961,118327,120299,121122,145774,118612,121124
28304,86303,55556,127044,127045,118821,307024,306404,118331,118332
19877,15369,2765,118290,118291,118301,120344,267006,118424,120346
15684,42734,6874,117978,117979,117920,118129,297922,118131,118132
24828,33111,795,117961,118225,120551,118321,240983,290919,118322
31061,1020,52160,91261,118026,118706,119962,168365,118205,119964
1027,45904,55934,118006,118007,117878,179731,124079,117887,117973
30155,44900,2456,118752,118753,118754,280788,280788,292795,119082
18211,391,50425,117926,117927,117941,117879,117886,19721,117880
12667,77945,22853,117961,118386,118896,119849,182753,118638,119851
10221,33642,93163,118163,118164,117878,118568,267952,19721,118570
25614,20294,31941,117916,118011,118599,179731,258199,117887,117973
26421,16631,239,117961,118225,124380,117905,117906,290919,117908
9441,73144,17264,117961,118300,118825,118523,163100,118331,118525
7112,34966,14731,117961,118446,118447,121594,170665,4673,121596
27227,35897,15769,117961,118300,119890,119433,133686,118424,119435
25874,110112,7525,117961,118225,120551,118321,118406,290919,118322
3613,80224,77941,119062,119091,119362,117905,311485,290919,117908
10255,42085,17261,117961,118343,118833,118834,127160,118424,118836
8435,81044,4055,117961,118343,120722,118361,118362,118363,118364
25059,34628,46104,117961,118327,120559,120560,304465,118643,120562
2403,40867,7551,117961,118052,118867,118784,118785,290919,118786
6708,21915,53205,118095,118096,118008,117879,117897,19721,117880
20895,16639,7029,117961,117962,120677,120357,149187,118424,120359
25447,80726,18894,120864,120865,120694,118636,159723,118638,118639
28863,16220,49646,119691,119692,118635,131795,252830,119695,131797
24178,27736,8242,117961,117962,119223,124886,306399,118643,124888
11358,43194,3527,117961,118225,120054,118702,303450,118704,118705
30025,25753,2460,122880,122974,118623,117946,149568,292795,117948
3559,26411,28527,5110,117954,117895,117885,117955,117887,117888
24623,4675,70297,117961,118327,118744,118259,120721,290919,118261
26740,79092,5206,117961,117962,120677,123670,305057,121916,123672
4044,17249,3887,117961,118343,120347,120348,265969,118295,120350
18520,20299,27508,117929,117940,117941,118568,119907,19721,118570
14398,22430,19271,117961,118225,119924,118784,117906,290919,118786
17683,80668,20655,117961,118300,123749,123670,305057,121916,123672
21648,23738,16973,117961,118300,124942,117905,117906,290919,117908
29179,75078,40922,118315,118463,118522,118465,132608,118467,118468
4630,45904,14289,118602,118603,117941,118568,118568,19721,118570
13764,33989,71974,117975,117976,117884,117885,117913,117887,117888
7367,4675,1450,117961,118300,118437,119962,168365,118205,119964
24062,30618,7576,117961,118052,120671,118321,117906,290919,118322
18607,75910,7287,117961,117962,119223,118278,118260,290919,118279
21861,42085,3881,117961,118343,118514,118321,117906,290919,118322
6705,2824,2837,118887,118888,118631,120344,303717,118424,120346
19764,22682,6890,117961,118446,118684,117905,117906,290919,117908
4283,75078,15886,117961,118052,120356,122067,237245,118424,122069
1673,43876,55364,117926,117927,117884,117885,117913,117887,117888
29269,40867,36051,117961,118386,118635,118685,262400,308574,118687
17786,77977,820,117961,118300,123719,118777,279443,308574,118779
5062,17249,4953,117961,118343,120126,120497,223125,118424,120499
16064,40997,17319,117961,117962,118791,121469,310997,118424,121471
7901,81070,18189,117961,118327,123757,118321,117906,290919,118322
23568,22271,7076,117961,118225,119238,119093,150341,119095,119096
8811,44814,1938,117961,118300,118066,120560,304465,118643,120562
18999,1020,15990,117961,118413,125133,119849,128470,118638,119851
31377,16191,15918,117961,118327,118320,118784,147114,290919,118786
10514,34865,3748,117961,118300,120059,118636,133779,118638,118639
18921,79699,1350,117961,118052,120096,117905,117906,290919,117908
3473,17278,120308,118163,119075,119076,118422,124426,118424,118425
10860,74930,1480,118290,118291,118450,146951,130411,117887,146952
23900,15714,2942,117961,118343,118700,117905,136178,290919,117908
20477,33248,21033,117961,118300,123749,119849,166593,118638,119851
2862,20289,17146,118120,118121,117884,117885,117913,117887,117888
24182,34073,221,117961,118413,120370,118321,117906,290919,118322
2473,3853,111670,117961,117962,118352,118685,120316,308574,118687
32105,1020,12264,117929,117940,117920,117885,117913,117887,117888
19422,39474,7490,118349,118350,122672,124537,125539,118870,124539
19994,677,852,117961,117962,122215,121594,302830,4673,121596
20559,78982,22838,117961,117969,19666,179731,179731,117887,117973
13600,33054,5163,118290,118291,118597,120344,149688,118424,120346
12891,78868,17728,117961,118446,119986,118318,168365,118205,118319
10203,33896,770,117961,118300,119181,118451,130134,118453,118454
20533,4675,7644,117961,118327,120318,117905,117906,290919,117908
30377,37260,53230,117876,117877,117878,118568,292195,19721,118570
2765,75834,21824,117961,118446,118684,118321,117906,290919,118322
3303,77178,84772,117961,118327,121694,122022,306795,119221,122024
1828,838,45964,117961,118386,118896,125793,125794,118643,125795
17917,18640,25557,117961,118300,121951,128422,130134,118453,128424
31038,74279,49574,117961,118327,118391,118958,256070,118960,118961
25909,33229,4378,117961,118327,118507,118863,122008,118398,118865
8013,17791,3023,117961,118343,122012,118321,240983,290919,118322
10554,32270,3811,120864,121013,118395,118396,269406,118398,118399
20706,75078,28241,119170,119171,140453,119849,212248,118638,119851
2955,75078,3608,117961,118052,120671,120418,232183,249618,120419
18,86316,7002,117961,118343,123125,118278,132715,290919,118279
29982,79299,55667,117902,118041,117945,280788,130913,292795,119082
22240,22662,12197,118290,118291,120171,118863,152438,118398,118865
8416,39264,14348,118169,118170,118623,117946,144221,292795,117948
101,79309,17128,117961,118300,119984,118396,300044,118398,118399
2042,29076,2598,118169,118170,117945,117946,175307,292795,117948
27668,44216,50952,117961,118327,118929,118784,117906,290919,118786
20250,16342,29134,117961,118300,28618,118321,240983,290919,118322
722,70452,58710,117980,117981,117884,117879,117886,19721,117880
32337,16337,44053,117961,117962,117904,119949,123170,290919,119951
19502,38124,19858,117929,117940,117941,117885,117913,117887,117888
6607,18072,7806,118573,118574,117945,280788,280788,292795,119082
20775,77203,15978,117961,119256,119257,117946,118806,292795,117948
20682,20279,70551,117910,117911,117884,117885,117913,117887,117888
12310,23921,15887,117961,118052,120356,126516,300136,118612,126518
2287,42093,17575,91261,118026,119362,119363,307210,118667,119365
1592,75535,1903,117961,118343,118514,118321,117906,290919,118322
7649,35002,16046,117961,117962,120677,122067,126079,118424,122069
15837,45743,52687,117961,117962,118910,119346,4673,4673,119348
29407,38113,19915,117935,117936,117878,117879,117879,19721,117880
30482,45481,18450,117961,118052,118821,117905,240983,290919,117908
27738,19678,19705,117935,117936,117878,117879,117879,19721,117880
32582,5393,2610,117961,118327,121979,117905,240983,290919,117908
4779,4675,1505,117961,118327,4674,117905,117906,290919,117908
25533,28315,3486,118752,119070,118042,118563,171750,270488,118565
1362,33241,125466,117902,117903,120171,120990,152438,118398,120992
12655,41758,255037,118315,118316,123656,118784,225897,290919,118786
32036,80520,16821,117961,118225,120535,118396,269406,118398,118399
17742,41314,20543,118169,118170,118556,280788,155276,292795,119082
14416,23974,5320,118290,118291,119598,120344,260942,118424,120346
32232,74874,56597,118079,118080,117878,117879,304519,19721,117880
26233,45652,4549,117961,118225,120050,118321,118448,290919,118322
20014,41297,4638,117961,118343,119987,119172,256190,118467,119174
2077,29907,1030,117961,118343,120722,118361,118362,118363,118364
24921,81520,1350,117961,118052,120096,117905,117906,290919,117908
