RESOURCE,MGR_ID,ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE
24033,76844,7344,117961,118225,120663,123648,127917,120518,123650
1389,25993,48583,117926,118124,117941,117879,117886,19721,117880
19917,79092,205,117961,118386,118746,118321,117906,290919,118322
22516,15064,49388,118887,118888,118631,118293,301534,118295,118296
2303,25553,13765,117918,117919,117920,145648,123191,119784,163313
26628,41495,3883,117961,118343,119987,118784,118785,290919,118786
23751,42085,61016,119596,119597,118597,120789,194103,118424,120791
7793,302049,85475,117961,118300,120410,118784,117906,290919,118786
20427,22947,19623,117961,118225,118403,118784,117906,290919,118786
31415,42085,2900,118887,118888,118458,118728,138565,118295,118730
6679,16116,23225,117961,118300,119984,120647,311441,118398,120649
17489,56842,16147,118541,118542,120539,118777,308574,308574,118779
12730,39262,5196,117961,118052,118053,118636,197472,118638,118639
8119,14354,102646,117926,118124,117941,117879,117886,19721,117880
17034,79032,5405,117961,118343,119598,117905,117906,290919,117908
6065,80537,5739,117961,118446,118684,127108,127109,118667,127110
2952,79543,28266,118315,118463,118522,131252,131253,124487,131254
30602,35498,17223,117961,118225,120535,123067,269406,118398,123068
997,32586,5320,118290,118291,119598,120344,260942,118424,120346
31339,3130,3245,117961,118300,121216,119351,257510,3130,119353
14833,90501,7560,117961,118343,119181,118321,117906,290919,118322
11690,23194,20655,117961,118300,123749,123670,305057,121916,123672
18591,42085,46512,117926,118124,117941,117879,117886,19721,117880
23710,4675,5360,117961,118446,122550,118685,120316,308574,118687
15445,32270,2318,117961,118327,118933,118321,117906,290919,118322
1845,14939,122272,117961,118225,122273,117905,117906,290919,117908
27262,21448,19839,117961,118300,123201,118321,118448,290919,118322
28286,45904,2327,117961,118300,119181,128230,302830,4673,128231
28822,37009,1325,117961,117962,118910,118321,117906,290919,118322
13803,79092,49385,117961,118343,119598,118054,120716,117887,118055
14734,6449,25607,117961,118343,118856,118368,118368,117887,118486
8598,38657,1930,122880,122974,118042,120097,281292,270488,120099
18817,79121,3620,119596,119597,120026,118293,118294,118295,118296
12154,80488,2270,117961,118413,120584,118958,118959,118960,118961
8400,52688,770,117961,118300,119181,118747,130134,118453,118749
7172,1020,57757,117961,118343,142038,118321,117906,290919,118322
28423,79021,27,117961,118413,120370,118321,117906,290919,118322
11191,80802,49353,117961,117962,118910,118321,117906,290919,118322
5781,78176,7389,117961,118386,118746,118451,152307,118453,118454
13473,78540,21221,118602,118603,118008,117899,117899,19721,117900
16588,41279,17549,117961,118446,119064,120690,136365,290919,120692
17878,75078,151283,117961,118386,118522,117905,123513,290919,117908
27797,70533,4875,120864,121013,121014,120789,171744,118424,120791
21625,41228,6232,117961,118343,118437,120516,185973,120518,120519
25024,28149,95428,91261,118026,118202,117905,117906,290919,117908
20016,6977,4945,117961,118300,118360,118636,171056,118638,118639
8073,23965,4729,117961,118300,118301,118054,118443,117887,118055
28175,43896,3868,117961,118052,120096,117905,117906,290919,117908
7541,26971,221,117961,118413,120370,118321,117906,290919,118322
31128,39149,16698,118595,118596,118597,118834,282017,118424,118836
16722,37793,770,117961,118300,119181,118451,130134,118453,118454
9847,34924,58916,117961,118327,118391,120172,230830,290919,120173
27794,17795,1334,117961,117962,118910,119949,230830,290919,119951
29604,34314,4636,117902,118041,119181,120952,122352,118453,120954
11194,4675,7987,117961,118327,120383,118321,149826,290919,118322
13146,1937,1475,117902,118041,118450,118028,127024,117887,118030
15618,93757,46254,117961,118327,126310,118641,306399,118643,118644
162,98054,36,117961,118413,119968,118321,117906,290919,118322
24994,17249,53081,117961,118343,119598,119433,133686,118424,119435
31650,27122,92550,126974,126975,118492,118747,125738,118453,118749
31875,37260,18010,117876,117877,117878,118568,146303,19721,118570
16009,79092,7220,117961,118225,120551,117905,240983,290919,117908
27599,69642,17002,5110,117954,117895,118568,157237,19721,118570
7321,23736,3417,118169,118170,118042,118054,119008,117887,118055
7695,15815,4583,117961,118413,120370,118784,240983,290919,118786
10660,79092,1396,117961,118300,120059,134655,134656,118424,134657
